step,n,base_rate,pr_auc
31,710,0.14929577464788732,1.0
32,1323,0.2585034013605442,0.9999999999999999
33,441,0.05215419501133787,1.0
34,515,0.07184466019417475,0.9999999999999998
35,1341,0.13571961222967935,1.0
36,1708,0.019320843091334895,1.0
37,498,0.08032128514056225,0.8736947911536198
38,756,0.14682539682539683,0.9636434881054029
39,1183,0.06846999154691462,0.9804364413802903
40,1211,0.09248554913294797,0.780432230665143
41,1132,0.10247349823321555,0.9670707642642509
42,2154,0.11095636025998143,0.8966730072763907
43,1370,0.017518248175182483,0.04693702653832867
44,1591,0.01508485229415462,0.04559007466395413
45,1221,0.004095004095004095,0.008407325277336059
46,712,0.0028089887640449437,0.5079365079365079
47,846,0.026004728132387706,0.05845452378372503
48,471,0.07643312101910828,0.15376582665633082
49,476,0.11764705882352941,0.16336655661461247
